|6.6.6
continental_crust_1.tab                                                                             
           2
T(K)    
   273.00000000000000     
   19.576923076923077     
          79
P(bar)  
   1.0000000000000000     
   1282.0384615384614     
          79
           8
T(K)           P(bar)         rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  566.654        12821.4        3083.83       0.323829E-004   1040.22        6.08674        2.92397      -0.127881E+008
  586.231        12821.4        3080.43       0.327587E-004   1051.54        6.07227        2.91702      -0.127670E+008
  605.808        12821.4        3076.91       0.331425E-004   1062.29        6.05698        2.90968      -0.127456E+008
  625.385        12821.4        3073.28       0.335359E-004   1072.51        6.04099        2.90200      -0.127239E+008
  644.962        12821.4        3064.12       0.340858E-004   1081.70        5.99507        2.87994      -0.127011E+008
  664.538        12821.4        3065.63       0.343630E-004   1091.61        6.00640        2.88538      -0.126797E+008
  684.115        12821.4        3061.59       0.348029E-004   1100.57        5.98766        2.87638      -0.126573E+008
  703.692        12821.4        3057.37       0.352667E-004   1109.20        5.96774        2.86681      -0.126346E+008
  723.269        12821.4        3055.25       0.357078E-004   1118.39        5.95758        2.86193      -0.126128E+008
  742.846        12821.4        3048.45       0.363222E-004   1126.15        5.92444        2.84601      -0.125886E+008
  762.423        12821.4        3020.79       0.365834E-004   1134.29        5.87395        2.82176      -0.125625E+008
  782.000        12821.4        3009.74       0.371408E-004   1142.82        5.84071        2.80579      -0.125386E+008
  801.577        12821.4        3007.14       0.377695E-004   1149.60        5.81830        2.79502      -0.125150E+008
  821.154        12821.4        2989.78       0.383836E-004   1159.43        5.77526        2.77434      -0.124902E+008
  840.731        12821.4        2980.44       0.390733E-004   1167.45        5.74227        2.75849      -0.124659E+008
  860.308        12821.4        2971.37       0.398165E-004   1175.27        5.70880        2.74242      -0.124414E+008
  879.885        12821.4        2936.90       0.396557E-004   1172.89        5.62832        2.70376      -0.124080E+008
  899.462        12821.4        2917.49       0.402871E-004   1178.34        5.57496        2.67813      -0.123807E+008
  919.038        12821.4        2898.59       0.409134E-004   1182.92        5.52719        2.65518      -0.123535E+008
  938.615        12821.4        2879.13       0.415622E-004   1186.53        5.47966        2.63234      -0.123260E+008
  958.192        12821.4        2863.55       0.421626E-004   1189.63        5.44835        2.61730      -0.122994E+008
  977.769        12821.4        2846.39       0.428547E-004   1192.05        5.40856        2.59819      -0.122727E+008
  997.346        12821.4        2830.04       0.435923E-004   1193.18        5.38158        2.58523      -0.122459E+008
  1016.92        12821.4        2805.28       0.442552E-004   1192.02        5.35686        2.57335      -0.122187E+008
  1036.50        12821.4        2791.35       0.456465E-004   1195.75        5.32655        2.55879      -0.121965E+008
  1056.08        12821.4        2786.92       0.478238E-004   1203.13        5.29159        2.54200      -0.121782E+008
  1075.65        12821.4        2787.39       0.505121E-004   1211.01        5.27239        2.53277      -0.121624E+008
  1095.23        12821.4        2787.74       0.544706E-004   1221.14        5.24172        2.51804      -0.121495E+008
  1114.81        12821.4        2787.24       0.611772E-004   1236.16        5.18665        2.49159      -0.121398E+008
  1134.38        12821.4        2785.26       0.763506E-004   1266.07        5.07335        2.43716      -0.121336E+008
1153.96 12821.4 2779.42 0.0001 1671.79 4.58783 2.20392 -0.121297E+008
  1173.54        12821.4        2781.79       0.214434E-004   1179.09        6.18609        2.97170      -0.121323E+008
  1193.12        12821.4        2793.75       0.210020E-004   1181.09                 NaN            NaN -0.121360E+008
  1212.69        12821.4        2792.20       0.204783E-004   1186.18                 NaN            NaN -0.121482E+008
  1232.27        12821.4        2769.08       0.206352E-004   1192.66        6.24692        3.00093      -0.121710E+008
  1251.85        12821.4        2762.84       0.207648E-004   1196.88        6.23321        2.99434      -0.121768E+008
  1271.42        12821.4        2772.30       0.211031E-004   1200.03        6.24330        2.99918      -0.121610E+008
  1291.00        12821.4        2765.66       0.211120E-004   1203.75        6.24264        2.99886      -0.121779E+008
  1310.58        12821.4        2784.34       0.216310E-004   1206.70        6.26475        3.00949      -0.121561E+008
  1330.15        12821.4        2781.10       0.217670E-004   1210.84        6.26891        3.01149      -0.121885E+008
  1349.73        12821.4        2791.16       0.220819E-004   1213.29                 NaN            NaN -0.121851E+008
  1369.31        12821.4        2801.45       0.223050E-004   1214.24        6.31731        3.03474      -0.121671E+008
  1388.88        12821.4        2864.16       0.232295E-004   1210.87        6.44547        3.09630      -0.121028E+008
  1408.46        12821.4        2856.44       0.232375E-004   1211.57        6.44312        3.09517      -0.121080E+008
  1428.04        12821.4        2939.47       0.245734E-004   1203.29        6.62051        3.18039      -0.120443E+008
  1447.62        12821.4        3127.50       0.286146E-004   1189.07        6.95897        3.34298      -0.118999E+008
  1467.19        12821.4        3197.90       0.326660E-004   1187.41                 NaN            NaN -0.118304E+008
  1486.77        12821.4        3279.80       0.373973E-004   1185.26        7.04409        3.38387      -0.117550E+008
  1506.35        12821.4        3278.06       0.375900E-004   1186.18        7.03825        3.38107      -0.117201E+008
  1525.92        12821.4        3275.37       0.378408E-004   1186.99        7.03400        3.37902      -0.116946E+008
  1545.50        12821.4        3273.15       0.380552E-004   1187.90        7.02881        3.37653      -0.116649E+008
  1565.08        12821.4        3270.93       0.382745E-004   1188.72        7.02372        3.37409      -0.116349E+008
  1584.65        12821.4        3268.63       0.384889E-004   1189.60        7.01843        3.37155      -0.116053E+008
  1604.23        12821.4        3266.33       0.387076E-004   1190.41        7.01323        3.36905      -0.115753E+008
  1623.81        12821.4        3264.18       0.389144E-004   1191.24        7.00757        3.36633      -0.115444E+008
  1643.38        12821.4        3262.04       0.391245E-004   1192.00        7.00198        3.36364      -0.115131E+008
  1662.96        12821.4        3257.49       0.383686E-004   1188.32        6.90783        3.31842      -0.114801E+008
  1682.54        12821.4        3252.67       0.369652E-004   1181.55        6.75772        3.24630      -0.114397E+008
  1702.12        12821.4        3250.58       0.371182E-004   1182.08        6.74717        3.24123      -0.114095E+008
1721.69 12821.4 3248.39 0.0001 1180.26 NaN NaN -0.113788E+008
  1741.27        12821.4        3246.31       0.372435E-004   1180.87        6.72747        3.23177      -0.113492E+008
  1760.85        12821.4        3244.23       0.374070E-004   1181.44        6.71710        3.22679      -0.113195E+008
  1780.42        12821.4        3241.88       0.375769E-004   1182.21        6.70753        3.22220      -0.112925E+008
  1800.00        12821.4        3239.85       0.377461E-004   1182.72        6.69714        3.21720      -0.112625E+008
  273.000        14103.4        3097.80       0.232091E-004   704.357        6.71260        3.22463      -0.130322E+008
  292.577        14103.4        3096.42       0.238850E-004   745.968        6.70958        3.22318      -0.130179E+008
  312.154        14103.4        3091.00       0.243189E-004   783.854        6.50775        3.12622      -0.130001E+008
  331.731        14103.4        3089.10       0.246252E-004   817.141        6.29297        3.02305      -0.129800E+008
  351.308        14103.4        3089.78       0.254635E-004   845.767        6.26797        3.01104      -0.129632E+008
  370.885        14103.4        3092.31       0.265070E-004   871.617        6.25033        3.00256      -0.129455E+008
  390.462        14103.4        3091.51       0.271210E-004   894.954        6.23303        2.99425      -0.129277E+008
  410.038        14103.4        3095.69       0.280769E-004   916.819        6.20875        2.98258      -0.129083E+008
  429.615        14103.4        3099.27       0.289926E-004   936.879        6.18471        2.97104      -0.128887E+008
  449.192        14103.4        3099.91       0.295284E-004   954.967        6.17910        2.96834      -0.128695E+008
  468.769        14103.4        3100.57       0.300527E-004   971.719        6.17336        2.96559      -0.128499E+008
  488.346        14103.4        3101.61       0.305917E-004   987.310        6.16756        2.96280      -0.128299E+008
  507.923        14103.4        3099.89       0.309562E-004   1001.72        6.16080        2.95955      -0.128100E+008
  527.500        14103.4        3097.71       0.312898E-004   1015.22        6.15364        2.95611      -0.127898E+008
  547.077        14103.4        3093.61       0.316182E-004   1027.87        6.12481        2.94226      -0.127683E+008
  566.654        14103.4        3091.33       0.319456E-004   1039.90        6.11703        2.93852      -0.127476E+008
  586.231        14103.4        3089.01       0.322732E-004   1051.32        6.10902        2.93468      -0.127266E+008
  605.808        14103.4        3086.64       0.326030E-004   1062.20        6.10072        2.93069      -0.127053E+008
  625.385        14103.4        3084.23       0.329369E-004   1072.59        6.09209        2.92655      -0.126838E+008
  644.962        14103.4        3080.86       0.333061E-004   1082.40        6.07756        2.91957      -0.126619E+008
  664.538        14103.4        3077.10       0.336961E-004   1091.74        6.06055        2.91139      -0.126398E+008
  684.115        14103.4        3073.23       0.341014E-004   1100.70        6.04271        2.90283      -0.126174E+008
  703.692        14103.4        3063.42       0.346857E-004   1108.54        5.99176        2.87835      -0.125938E+008
  723.269        14103.4        3061.32       0.350939E-004   1117.67        5.98219        2.87375      -0.125720E+008
  742.846        14103.4        3054.59       0.356516E-004   1125.22        5.95003        2.85830      -0.125477E+008
  762.423        14103.4        3056.48       0.358092E-004   1131.95        5.96250        2.86429      -0.125257E+008
  782.000        14103.4        3051.93       0.363111E-004   1139.18        5.93978        2.85338      -0.125023E+008
  801.577        14103.4        3047.21       0.368553E-004   1146.29        5.91567        2.84180      -0.124787E+008
  821.154        14103.4        3042.31       0.374402E-004   1153.20        5.89015        2.82954      -0.124549E+008
  840.731        14103.4        3037.24       0.380705E-004   1159.94        5.86322        2.81660      -0.124309E+008
  860.308        14103.4        3022.98       0.386958E-004   1167.91        5.82558        2.79852      -0.124058E+008
  879.885        14103.4        3006.17       0.393661E-004   1176.41        5.78399        2.77854      -0.123805E+008
  899.462        14103.4        2982.85       0.395980E-004   1178.68        5.72718        2.75125      -0.123514E+008
  919.038        14103.4        2959.06       0.401184E-004   1184.60        5.67038        2.72396      -0.123235E+008
  938.615        14103.4        2938.13       0.407517E-004   1190.01        5.61529        2.69750      -0.122958E+008
  958.192        14103.4        2918.70       0.414456E-004   1194.75        5.56347        2.67261      -0.122683E+008
  977.769        14103.4        2900.20       0.421874E-004   1198.73        5.51552        2.64957      -0.122409E+008
  997.346        14103.4        2881.28       0.430232E-004   1201.93        5.46540        2.62550      -0.122132E+008
  1016.92        14103.4        2865.81       0.438369E-004   1204.32        5.42874        2.60788      -0.121866E+008
  1036.50        14103.4        2843.22       0.445614E-004   1203.55        5.39392        2.59116      -0.121605E+008
  1056.08        14103.4        2824.72       0.444401E-004   1197.76        5.43837        2.61251      -0.121374E+008
  1075.65        14103.4        2821.35       0.460301E-004   1203.25        5.42279        2.60503      -0.121189E+008
  1095.23        14103.4        2819.13       0.481932E-004   1209.98        5.40284        2.59544      -0.121027E+008
  1114.81        14103.4        2817.05       0.512953E-004   1218.55        5.37297        2.58109      -0.120892E+008
  1134.38        14103.4        2818.92       0.557500E-004   1229.51        5.35458        2.57226      -0.120798E+008
  1153.96        14103.4        2823.89       0.638275E-004   1246.79        5.32674        2.55888      -0.120733E+008
  1173.54        14103.4        2831.34       0.881539E-004   1292.41        5.22562        2.51030      -0.120678E+008
  1193.12        14103.4        2842.50       0.314221E-004   1177.29        6.50817        3.12642      -0.120610E+008
  1212.69        14103.4        2835.71       0.200714E-004   1180.84                 NaN            NaN -0.120606E+008
  1232.27        14103.4        2828.27       0.201218E-004   1184.48        6.43825        3.09283      -0.120631E+008
  1251.85        14103.4        2816.54       0.202122E-004   1188.89                 NaN            NaN -0.120710E+008
  1271.42        14103.4        2795.94       0.203836E-004   1195.01        6.35370        3.05222      -0.120905E+008
  1291.00        14103.4        2768.01       0.206255E-004   1202.78        6.27006        3.01204      -0.121257E+008
  1310.58        14103.4        2769.83       0.208107E-004   1206.13                 NaN            NaN -0.121260E+008
  1330.15        14103.4        2775.21       0.210556E-004   1209.38        6.28511        3.01927      -0.121274E+008
  1349.73        14103.4        2785.28       0.213908E-004   1212.64                 NaN            NaN -0.121319E+008
  1369.31        14103.4        2797.05       0.216791E-004   1214.80                 NaN            NaN -0.121273E+008
  1388.88        14103.4        2810.30       0.218543E-004   1215.16        6.36514        3.05771      -0.121066E+008
  1408.46        14103.4        2878.06       0.226223E-004   1211.10                 NaN            NaN -0.120485E+008
  1428.04        14103.4        2888.50       0.226258E-004   1208.94        6.55728        3.15002      -0.120343E+008
  1447.62        14103.4        3032.18       0.242764E-004   1195.40        6.87933        3.30472      -0.119320E+008
  1467.19        14103.4        3095.56       0.267653E-004   1192.54        6.95713        3.34210      -0.118661E+008
  1486.77        14103.4        3152.09       0.300552E-004   1191.17        6.98475        3.35536      -0.118027E+008
  1506.35        14103.4        3236.80       0.349326E-004   1188.75        7.03001        3.37711      -0.117272E+008
  1525.92        14103.4        3278.38       0.375328E-004   1187.84        7.05138        3.38737      -0.116735E+008
  1545.50        14103.4        3276.21       0.377548E-004   1188.58        7.04618        3.38488      -0.116424E+008
  1565.08        14103.4        3273.88       0.379682E-004   1189.50        7.04128        3.38252      -0.116138E+008
  1584.65        14103.4        3271.51       0.381748E-004   1190.48        7.03612        3.38004      -0.115850E+008
  1604.23        14103.4        3269.32       0.384078E-004   1191.00        7.03072        3.37745      -0.115532E+008
  1623.81        14103.4        3267.16       0.385964E-004   1192.03        7.02544        3.37491      -0.115233E+008
  1643.38        14103.4        3264.95       0.388321E-004   1192.46        7.01954        3.37208      -0.114911E+008
  1662.96        14103.4        3262.68       0.390494E-004   1193.13        7.01373        3.36929      -0.114601E+008
  1682.54        14103.4        3258.06       0.380117E-004   1188.12        6.89767        3.31353      -0.114244E+008
  1702.12        14103.4        3253.95       0.368387E-004   1182.34        6.77146        3.25290      -0.113847E+008
  1721.69        14103.4        3251.97       0.369867E-004   1182.81        6.76098        3.24787      -0.113538E+008
  1741.27        14103.4        3249.66       0.369542E-004   1181.15        6.75234        3.24372      -0.113251E+008
  1760.85        14103.4        3247.59       0.371182E-004   1181.57        6.74162        3.23857      -0.112946E+008
  1780.42        14103.4        3245.51       0.372771E-004   1182.28        6.73201        3.23395      -0.112656E+008
  1800.00        14103.4        3243.23       0.374538E-004   1182.74        6.72157        3.22894      -0.112370E+008
  273.000        15385.5        3103.02       0.230399E-004   703.911        6.72720        3.23164      -0.129910E+008
  292.577        15385.5        3101.72       0.237358E-004   745.545        6.72435        3.23027      -0.129768E+008
  312.154        15385.5        3096.81       0.241970E-004   783.555        6.51524        3.12982      -0.129589E+008
  331.731        15385.5        3100.78       0.251401E-004   817.375        6.29242        3.02278      -0.129382E+008
  351.308        15385.5        3100.56       0.258248E-004   845.794        6.27719        3.01546      -0.129215E+008
  370.885        15385.5        3099.99       0.264869E-004   871.522        6.25741        3.00596      -0.129042E+008
  390.462        15385.5        3105.83       0.275719E-004   895.581        6.23059        2.99308      -0.128851E+008
  410.038        15385.5        3110.65       0.285202E-004   917.445        6.21162        2.98397      -0.128659E+008
  429.615        15385.5        3111.40       0.290580E-004   937.028        6.20721        2.98185      -0.128472E+008
  449.192        15385.5        3112.36       0.295923E-004   955.086        6.20273        2.97969      -0.128280E+008
  468.769        15385.5        3110.32       0.299415E-004   971.616        6.19638        2.97665      -0.128088E+008
  488.346        15385.5        3108.49       0.302802E-004   987.517        6.19056        2.97385      -0.127896E+008
  507.923        15385.5        3106.22       0.306061E-004   1001.38        6.18389        2.97064      -0.127694E+008
  527.500        15385.5        3104.35       0.309302E-004   1015.46        6.17770        2.96767      -0.127497E+008
  547.077        15385.5        3101.89       0.312457E-004   1027.58        6.16996        2.96395      -0.127288E+008
  566.654        15385.5        3097.83       0.315580E-004   1039.51        6.14156        2.95031      -0.127070E+008
  586.231        15385.5        3095.55       0.318716E-004   1050.91        6.13381        2.94659      -0.126860E+008
  605.808        15385.5        3093.61       0.321897E-004   1062.43        6.12672        2.94318      -0.126654E+008
  625.385        15385.5        3090.89       0.325037E-004   1072.11        6.11766        2.93883      -0.126433E+008
  644.962        15385.5        3088.92       0.328297E-004   1082.71        6.11010        2.93520      -0.126222E+008
  664.538        15385.5        3086.07       0.331539E-004   1091.55        6.10035        2.93052      -0.125996E+008
  684.115        15385.5        3083.61       0.334912E-004   1100.75        6.09124        2.92614      -0.125775E+008
  703.692        15385.5        3080.91       0.338464E-004   1109.60        6.08056        2.92101      -0.125551E+008
  723.269        15385.5        3078.86       0.342180E-004   1118.93        6.07181        2.91680      -0.125333E+008
  742.846        15385.5        3072.90       0.347145E-004   1126.36        6.04251        2.90273      -0.125093E+008
  762.423        15385.5        3062.53       0.351902E-004   1131.29        5.98736        2.87623      -0.124849E+008
  782.000        15385.5        3064.48       0.354438E-004   1139.32        6.00156        2.88306      -0.124628E+008
  801.577        15385.5        3053.37       0.361429E-004   1145.44        5.94234        2.85461      -0.124379E+008
  821.154        15385.5        3055.54       0.364429E-004   1153.28        5.95609        2.86121      -0.124156E+008
  840.731        15385.5        3050.93       0.369855E-004   1160.01        5.93226        2.84976      -0.123914E+008
  860.308        15385.5        3046.00       0.375894E-004   1166.51        5.90563        2.83697      -0.123676E+008
  879.885        15385.5        3041.03       0.382347E-004   1172.83        5.87826        2.82382      -0.123436E+008
  899.462        15385.5        3035.94       0.389340E-004   1178.90        5.84961        2.81006      -0.123195E+008
  919.038        15385.5        3030.69       0.396901E-004   1184.75        5.82003        2.79585      -0.122952E+008
  938.615        15385.5        3025.57       0.405164E-004   1190.42        5.78912        2.78100      -0.122710E+008
  958.192        15385.5        2994.92       0.408807E-004   1195.67        5.72860        2.75193      -0.122416E+008
  977.769        15385.5        2965.40       0.413459E-004   1200.79        5.66540        2.72157      -0.122122E+008
  997.346        15385.5        2942.40       0.420306E-004   1205.49        5.60720        2.69361      -0.121838E+008
  1016.92        15385.5        2922.41       0.428264E-004   1209.68        5.55438        2.66824      -0.121559E+008
  1036.50        15385.5        2903.62       0.437310E-004   1213.11        5.50358        2.64383      -0.121283E+008
  1056.08        15385.5        2884.47       0.443510E-004   1212.76        5.47793        2.63151      -0.121047E+008
  1075.65        15385.5        2871.45       0.438333E-004   1205.39        5.55030        2.66628      -0.120836E+008
  1095.23        15385.5        2864.31       0.444260E-004   1205.40        5.57499        2.67814      -0.120621E+008
  1114.81        15385.5        2862.96       0.457890E-004   1209.82        5.58311        2.68204      -0.120456E+008
  1134.38        15385.5        2864.74       0.476300E-004   1215.31        5.59814        2.68926      -0.120317E+008
  1153.96        15385.5        2870.29       0.503126E-004   1222.47        5.61983        2.69968      -0.120199E+008
  1173.54        15385.5        2877.53       0.550287E-004   1233.41        5.62835        2.70377      -0.120094E+008
  1193.12        15385.5        2872.39       0.681469E-004   1260.93        5.49574        2.64007      -0.120020E+008
1212.69 15385.5 2857.42 0.0001 1396.37 5.14763 2.47284 -0.119938E+008
  1232.27        15385.5        2853.88       0.197786E-004   1184.05                 NaN            NaN -0.119940E+008
  1251.85        15385.5        2839.98       0.199504E-004   1186.85                 NaN            NaN -0.119924E+008
  1271.42        15385.5        2838.06       0.199093E-004   1190.96        6.48260        3.11414      -0.120012E+008
  1291.00        15385.5        2825.00       0.200745E-004   1194.00        6.45528        3.10102      -0.120033E+008
  1310.58        15385.5        2818.21       0.201553E-004   1197.64                 NaN            NaN -0.120124E+008
  1330.15        15385.5        2794.93       0.204242E-004   1204.91                 NaN            NaN -0.120443E+008
  1349.73        15385.5        2781.52       0.207402E-004   1211.33        6.32137        3.03669      -0.120704E+008
  1369.31        15385.5        2791.79       0.210292E-004   1214.21                 NaN            NaN -0.120724E+008
  1388.88        15385.5        2805.83       0.212855E-004   1216.02                 NaN            NaN -0.120669E+008
  1408.46        15385.5        2823.67       0.213978E-004   1215.60                 NaN            NaN -0.120432E+008
  1428.04        15385.5        2898.56       0.219316E-004   1210.05        6.60423        3.17257      -0.119873E+008
  1447.62        15385.5        2947.34       0.218887E-004   1203.14                 NaN            NaN -0.119505E+008
  1467.19        15385.5        3039.84       0.233714E-004   1196.15        6.94756        3.33750      -0.118729E+008
  1486.77        15385.5        3072.95       0.253942E-004   1195.62                 NaN            NaN -0.118243E+008
  1506.35        15385.5        3149.61       0.297422E-004   1193.30        6.99823        3.36184      -0.117469E+008
  1525.92        15385.5        3189.29       0.322317E-004   1192.48                 NaN            NaN -0.117010E+008
  1545.50        15385.5        3278.81       0.374528E-004   1189.61        7.06414        3.39350      -0.116242E+008
  1565.08        15385.5        3276.84       0.376688E-004   1190.24        7.05870        3.39089      -0.115921E+008
  1584.65        15385.5        3274.75       0.378577E-004   1191.19        7.05250        3.38791      -0.115599E+008
  1604.23        15385.5        3272.32       0.381141E-004   1191.57        7.04808        3.38579      -0.115306E+008
  1623.81        15385.5        3270.10       0.383275E-004   1192.28        7.04251        3.38311      -0.114999E+008
  1643.38        15385.5        3267.87       0.385450E-004   1192.91        7.03700        3.38047      -0.114689E+008
  1662.96        15385.5        3265.54       0.387567E-004   1193.64        7.03128        3.37772      -0.114388E+008
  1682.54        15385.5        3263.20       0.389721E-004   1194.32        7.02562        3.37500      -0.114085E+008
  1702.12        15385.5        3258.57       0.375590E-004   1187.41        6.88050        3.30529      -0.113678E+008
  1721.69        15385.5        3255.43       0.367072E-004   1183.07        6.78516        3.25949      -0.113283E+008
  1741.27        15385.5        3253.39       0.366605E-004   1181.36        6.77708        3.25560      -0.112952E+008
  1760.85        15385.5        3250.92       0.368352E-004   1181.71        6.76587        3.25022      -0.112695E+008
  1780.42        15385.5        3248.76       0.370003E-004   1182.26        6.75585        3.24541      -0.112405E+008
  1800.00        15385.5        3246.59       0.371672E-004   1182.77        6.74576        3.24056      -0.112113E+008
  273.000        16667.5        3108.83       0.229580E-004   703.342        6.74441        3.23991      -0.129500E+008
  292.577        16667.5        3107.27       0.236159E-004   745.112        6.74047        3.23802      -0.129358E+008
  312.154        16667.5        3106.07       0.242342E-004   781.557        6.73844        3.23704      -0.129207E+008
  331.731        16667.5        3108.27       0.251607E-004   817.244        6.29690        3.02493      -0.128970E+008
  351.308        16667.5        3110.42       0.259579E-004   845.889        6.28260        3.01806      -0.128799E+008
  370.885        16667.5        3122.39       0.273498E-004   872.709        6.26353        3.00890      -0.128607E+008
  390.462        16667.5        3124.54       0.281572E-004   896.414        6.24368        2.99937      -0.128425E+008
  410.038        16667.5        3122.39       0.285587E-004   917.553        6.23608        2.99571      -0.128246E+008
  429.615        16667.5        3120.42       0.289334E-004   936.919        6.23015        2.99287      -0.128062E+008
  449.192        16667.5        3118.48       0.292884E-004   954.762        6.22451        2.99016      -0.127874E+008
  468.769        16667.5        3115.88       0.296353E-004   971.265        6.21416        2.98518      -0.127682E+008
  488.346        16667.5        3114.06       0.299643E-004   987.161        6.20852        2.98248      -0.127490E+008
  507.923        16667.5        3111.81       0.302801E-004   1001.01        6.20205        2.97937      -0.127288E+008
  527.500        16667.5        3109.95       0.305933E-004   1015.08        6.19607        2.97650      -0.127091E+008
  547.077        16667.5        3107.52       0.308975E-004   1027.20        6.18856        2.97289      -0.126882E+008
  566.654        16667.5        3104.26       0.311908E-004   1039.14        6.16571        2.96191      -0.126666E+008
  586.231        16667.5        3101.23       0.314979E-004   1050.50        6.15329        2.95595      -0.126454E+008
  605.808        16667.5        3099.31       0.318022E-004   1062.00        6.14649        2.95268      -0.126248E+008
  625.385        16667.5        3096.61       0.321015E-004   1071.67        6.13774        2.94847      -0.126027E+008
  644.962        16667.5        3094.66       0.324115E-004   1082.24        6.13049        2.94499      -0.125816E+008
  664.538        16667.5        3091.83       0.327186E-004   1091.06        6.12110        2.94048      -0.125590E+008
  684.115        16667.5        3090.30       0.330323E-004   1100.18        6.11727        2.93864      -0.125371E+008
  703.692        16667.5        3087.85       0.333605E-004   1109.02        6.10819        2.93428      -0.125147E+008
  723.269        16667.5        3085.35       0.337036E-004   1117.65        6.09879        2.92976      -0.124922E+008
  742.846        16667.5        3082.85       0.340796E-004   1126.29        6.08919        2.92515      -0.124695E+008
  762.423        16667.5        3080.29       0.342900E-004   1132.54        6.07948        2.92049      -0.124465E+008
  782.000        16667.5        3076.67       0.346579E-004   1139.59        6.06256        2.91236      -0.124234E+008
  801.577        16667.5        3072.49       0.350910E-004   1146.65        6.04186        2.90242      -0.123999E+008
  821.154        16667.5        3068.46       0.355332E-004   1153.50        6.02195        2.89285      -0.123760E+008
  840.731        16667.5        3063.81       0.360396E-004   1160.20        5.99757        2.88114      -0.123525E+008
  860.308        16667.5        3059.29       0.365610E-004   1166.72        5.97390        2.86977      -0.123285E+008
  879.885        16667.5        3054.59       0.371271E-004   1172.98        5.94849        2.85756      -0.123045E+008
  899.462        16667.5        3049.60       0.377354E-004   1178.97        5.92226        2.84496      -0.122804E+008
  919.038        16667.5        3044.31       0.383972E-004   1184.71        5.89440        2.83158      -0.122560E+008
  938.615        16667.5        3040.53       0.390682E-004   1190.61        5.87021        2.81996      -0.122323E+008
  958.192        16667.5        3035.24       0.398591E-004   1195.70        5.83802        2.80449      -0.122078E+008
  977.769        16667.5        3030.28       0.406949E-004   1200.86        5.80801        2.79008      -0.121834E+008
  997.346        16667.5        3025.28       0.416125E-004   1205.89        5.77695        2.77516      -0.121590E+008
  1016.92        16667.5        3013.14       0.424582E-004   1210.81        5.73714        2.75603      -0.121330E+008
  1036.50        16667.5        2975.53       0.428087E-004   1215.40        5.66586        2.72179      -0.121014E+008
  1056.08        16667.5        2949.83       0.435529E-004   1219.63        5.60419        2.69217      -0.120720E+008
  1075.65        16667.5        2933.55       0.433515E-004   1218.06        5.63394        2.70646      -0.120564E+008
  1095.23        16667.5        2924.44       0.426913E-004   1212.12        5.71311        2.74449      -0.120348E+008
  1114.81        16667.5        2920.19       0.424279E-004   1208.13        5.78350        2.77830      -0.120081E+008
  1134.38        16667.5        2921.04       0.432623E-004   1211.39        5.81187        2.79193      -0.119904E+008
  1153.96        16667.5        2919.02       0.446946E-004   1215.49        5.81964        2.79567      -0.119735E+008
  1173.54        16667.5        2921.68       0.486679E-004   1229.33        5.76536        2.76959      -0.119818E+008
  1193.12        16667.5        2915.24       0.537545E-004   1242.06        5.69160        2.73416      -0.119733E+008
  1212.69        16667.5        2889.75       0.607124E-004   1252.96        5.58597        2.68341      -0.119391E+008
  1232.27        16667.5        2884.58       0.833174E-004   1298.71        5.40105        2.59458      -0.119392E+008
  1251.85        16667.5        2865.13       0.728621E-004   1186.50                 NaN            NaN -0.119250E+008
  1271.42        16667.5        2861.52       0.196301E-004   1190.58                 NaN            NaN -0.119314E+008
  1291.00        16667.5        2847.53       0.197863E-004   1192.93        6.51322        3.12885      -0.119281E+008
  1310.58        16667.5        2837.85       0.198817E-004   1196.11        6.49674        3.12093      -0.119320E+008
  1330.15        16667.5        2831.21       0.199594E-004   1199.56                 NaN            NaN -0.119396E+008
  1349.73        16667.5        2825.84       0.200524E-004   1203.01                 NaN            NaN -0.119495E+008
  1369.31        16667.5        2822.67       0.201685E-004   1206.42        6.47884        3.11233      -0.119618E+008
  1388.88        16667.5        2800.81       0.206525E-004   1215.47        6.38677        3.06811      -0.120093E+008
  1408.46        16667.5        2818.37       0.208777E-004   1216.93                 NaN            NaN -0.120045E+008
  1428.04        16667.5        2843.50       0.208960E-004   1215.40                 NaN            NaN -0.119774E+008
  1447.62        16667.5        2919.50       0.211062E-004   1209.26        6.70373        3.22037      -0.119305E+008
  1467.19        16667.5        3006.93       0.212045E-004   1199.17                 NaN            NaN -0.118656E+008
  1486.77        16667.5        3045.90       0.234433E-004   1199.10        6.96916        3.34788      -0.118148E+008
  1506.35        16667.5        3070.54       0.249759E-004   1199.35        6.97819        3.35221      -0.117773E+008
  1525.92        16667.5        3120.63       0.279327E-004   1197.94                 NaN            NaN -0.117187E+008
  1545.50        16667.5        3156.28       0.302846E-004   1195.68                 NaN            NaN -0.116642E+008
  1565.08        16667.5        3245.84       0.355003E-004   1192.57        7.05763        3.39037      -0.115877E+008
  1584.65        16667.5        3277.59       0.375845E-004   1191.75        7.07116        3.39687      -0.115391E+008
  1604.23        16667.5        3275.57       0.377878E-004   1192.41        7.06462        3.39373      -0.115055E+008
  1623.81        16667.5        3273.10       0.380111E-004   1193.15        7.06053        3.39177      -0.114781E+008
  1643.38        16667.5        3270.86       0.382407E-004   1193.60        7.05486        3.38904      -0.114465E+008
