|6.6.6
harz_wet_1.tab                                                                                      
           2
T(K)    
   273.00000000000000     
   17.012820512820515     
          79
P(bar)  
   1.0000000000000000     
   1282.0384615384614     
          79
           9
T(K)           P(bar)         rho,kg/m3      alpha,1/K      beta,1/bar     cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  545.205        1283.04        2947.68       0.287283E-004  0.176826E-005   1116.67        5.56551        2.67358      -0.128862E+008
  562.218        1283.04        2946.16       0.289466E-004  0.177300E-005   1126.83        5.56067        2.67126      -0.128668E+008
  579.231        1283.04        2944.62       0.291550E-004  0.177780E-005   1136.44        5.55579        2.66892      -0.128472E+008
  596.244        1283.04        2943.07       0.293547E-004  0.178264E-005   1145.56        5.55088        2.66655      -0.128275E+008
  613.256        1283.04        2941.51       0.295467E-004  0.178753E-005   1154.23        5.54593        2.66418      -0.128076E+008
  630.269        1283.04        2939.94       0.297318E-004  0.179247E-005   1162.49        5.54095        2.66178      -0.127875E+008
  647.282        1283.04        2938.36       0.299107E-004  0.179746E-005   1170.36        5.53594        2.65938      -0.127673E+008
  664.295        1283.04        2936.76       0.300841E-004  0.180250E-005   1177.89        5.53090        2.65696      -0.127470E+008
  681.308        1283.04        2935.16       0.302526E-004  0.180758E-005   1185.09        5.52584        2.65453      -0.127265E+008
  698.321        1283.04        2969.90       0.338436E-004  0.153260E-005   1210.70        5.88065        2.82497      -0.126942E+008
  715.333        1283.04        2969.00       0.340740E-004  0.153215E-005   1217.81        5.88126        2.82526      -0.126731E+008
  732.346        1283.04        2968.20       0.343093E-004  0.153100E-005   1224.69        5.88278        2.82600      -0.126518E+008
  749.359        1283.04        2967.50       0.345511E-004  0.152906E-005   1231.36        5.88530        2.82721      -0.126305E+008
  766.372        1283.04        2966.93       0.348004E-004  0.152628E-005   1237.84        5.88890        2.82893      -0.126089E+008
  783.385        1283.04        2966.48       0.350588E-004  0.152258E-005   1244.17        5.89366        2.83122      -0.125872E+008
  800.397        1283.04        3188.75       0.330375E-004  0.134040E-005   1166.49        6.15244        2.95554      -0.125682E+008
  817.410        1283.04        3210.72       0.335727E-004  0.127161E-005   1168.67        6.25136        3.00306      -0.125455E+008
  834.423        1283.04        3243.51       0.342851E-004  0.116941E-005   1169.68        6.40914        3.07885      -0.125216E+008
  851.436        1283.04        3291.93       0.352560E-004  0.101886E-005   1169.25        6.67375        3.20597      -0.124958E+008
  868.449        1283.04        3289.95       0.354362E-004  0.102303E-005   1174.12        6.66458        3.20156      -0.124759E+008
  885.462        1283.04        3287.96       0.356157E-004  0.102725E-005   1178.83        6.65535        3.19713      -0.124559E+008
  902.474        1283.04        3285.96       0.357949E-004  0.103150E-005   1183.39        6.64609        3.19268      -0.124358E+008
  919.487        1283.04        3283.96       0.359738E-004  0.103581E-005   1187.82        6.63678        3.18821      -0.124156E+008
  936.500        1283.04        3281.94       0.361525E-004  0.104015E-005   1192.10        6.62743        3.18371      -0.123954E+008
  953.513        1283.04        3279.92       0.363313E-004  0.104455E-005   1196.26        6.61804        3.17920      -0.123750E+008
  970.526        1283.04        3277.89       0.365101E-004  0.104899E-005   1200.30        6.60860        3.17467      -0.123547E+008
  987.538        1283.04        3275.85       0.366892E-004  0.105348E-005   1204.23        6.59913        3.17012      -0.123342E+008
  1004.55        1283.04        3273.80       0.368685E-004  0.105801E-005   1208.04        6.58962        3.16555      -0.123137E+008
  1021.56        1283.04        3271.74       0.370484E-004  0.106259E-005   1211.75        6.58006        3.16096      -0.122931E+008
